SYMBOL,log2fc,fdr,tissue,OSD_ID
Bhlhe40,-0.021287225762704,0.99774366486371,liver,OSD-245
Bhlhe41,-1.49200690392222,0.374460081697615,liver,OSD-245
Ciart,-1.12083008861514,0.407658740957143,liver,OSD-245
Arntl,1.84337076659476,0.0313486492283432,liver,OSD-245
Per2,0.111043569601043,0.979467542941148,liver,OSD-245
Dbp,-1.39639795391579,0.246255920258135,liver,OSD-245
Cry2,-0.0389838727507867,0.996379834022222,liver,OSD-245
Hlf,-0.0305090788029961,1.0,spleen,OSD-246
Cry1,0.0064149869526416,1.0,spleen,OSD-246
Nr1d1,-0.277185852394556,1.0,spleen,OSD-246
Per1,0.0686756260429528,1.0,spleen,OSD-246
Nr1d2,-0.101881823367809,1.0,spleen,OSD-246
Tef,0.0709780384506953,1.0,spleen,OSD-246
Npas2,0.142807976800813,1.0,spleen,OSD-246
Per3,0.113755269144604,1.0,spleen,OSD-246
Clock,-0.0507015337576387,1.0,spleen,OSD-246
Bhlhe40,0.0187715871830185,1.0,spleen,OSD-246
Bhlhe41,-0.0490804493944464,1.0,spleen,OSD-246
Ciart,-0.0805842125047087,1.0,spleen,OSD-246
Bmal1,0.0227531476901433,1.0,spleen,OSD-246
Per2,0.18850059339834,1.0,spleen,OSD-246
Dbp,-0.0064576295199479,1.0,spleen,OSD-246
Cry2,0.129784105798463,1.0,spleen,OSD-246
Hlf,-0.103648449198565,1.0,colon,OSD-247
Cry1,0.627949538708955,0.995812839940645,colon,OSD-247
Nr1d1,-1.03726855200852,0.962953071243813,colon,OSD-247
Per1,-0.187971090239717,1.0,colon,OSD-247
Nr1d2,-0.368000623591901,1.0,colon,OSD-247
Tef,-0.231643748697422,1.0,colon,OSD-247
Npas2,0.218548101832344,1.0,colon,OSD-247
Per3,-0.183825758017504,1.0,colon,OSD-247
Clock,0.187797786964262,1.0,colon,OSD-247
Bhlhe40,-0.0363475164837526,1.0,colon,OSD-247
Bhlhe41,-0.488735456000443,1.0,colon,OSD-247
Ciart,-0.904412711518246,1.0,colon,OSD-247
Bmal1,0.690095772751305,1.0,colon,OSD-247
Per2,0.0069995652448279,1.0,colon,OSD-247
Dbp,-0.912535906116753,1.0,colon,OSD-247
Cry2,-0.0324443797070762,1.0,colon,OSD-247
Hlf,-0.0268124885650062,0.999950945726078,lung,OSD-248
Cry1,0.261789885455967,0.999950945726078,lung,OSD-248
Nr1d1,-0.985848533984817,0.999950945726078,lung,OSD-248
Per1,0.0721289077050574,0.999950945726078,lung,OSD-248
Nr1d2,-0.260414665445187,0.999950945726078,lung,OSD-248
Tef,-0.18930259279341,0.999950945726078,lung,OSD-248
Npas2,0.481056309535595,0.999950945726078,lung,OSD-248
Per3,-0.150841424724584,0.999950945726078,lung,OSD-248
Clock,0.292311046769972,0.999950945726078,lung,OSD-248
Bhlhe40,-0.144845297416653,0.999950945726078,lung,OSD-248
Bhlhe41,-0.00890403695842,0.999950945726078,lung,OSD-248
Ciart,-0.405707791173694,0.999950945726078,lung,OSD-248
Bmal1,0.634841404120613,0.999950945726078,lung,OSD-248
Per2,0.0744150579267244,0.999950945726078,lung,OSD-248
Dbp,-0.797262721423507,0.999950945726078,lung,OSD-248
Cry2,0.109443736011986,0.999950945726078,lung,OSD-248
