SYMBOL,log2fc,fdr,tissue,OSD_ID,label,paradigm,tissue_lab
Per3,0.191777926755852,1.0,spleen,OSD-201,OSD-201,HLU,spleen (OSD-201)
Clock,-0.0416266125567999,1.0,spleen,OSD-201,OSD-201,HLU,spleen (OSD-201)
Bhlhe40,-0.117683565601424,1.0,spleen,OSD-201,OSD-201,HLU,spleen (OSD-201)
Bhlhe41,-0.405900503436105,1.0,spleen,OSD-201,OSD-201,HLU,spleen (OSD-201)
Ciart,0.185168750301956,1.0,spleen,OSD-201,OSD-201,HLU,spleen (OSD-201)
Bmal1,-0.0714893493438761,1.0,spleen,OSD-201,OSD-201,HLU,spleen (OSD-201)
Per2,0.11074050917603,1.0,spleen,OSD-201,OSD-201,HLU,spleen (OSD-201)
Dbp,0.218538589066762,1.0,spleen,OSD-201,OSD-201,HLU,spleen (OSD-201)
Cry2,0.0455921725975606,1.0,spleen,OSD-201,OSD-201,HLU,spleen (OSD-201)
Hlf,-0.169805204072384,0.984601686330008,spleen,OSD-211,OSD-211,HLU,spleen (OSD-211)
Cry1,-0.290651524679602,0.756638373754501,spleen,OSD-211,OSD-211,HLU,spleen (OSD-211)
Nr1d1,0.139318269294147,0.979967500560875,spleen,OSD-211,OSD-211,HLU,spleen (OSD-211)
Per1,-0.0581608582029996,0.991619166397159,spleen,OSD-211,OSD-211,HLU,spleen (OSD-211)
Nr1d2,0.0730333899901466,0.987507358267067,spleen,OSD-211,OSD-211,HLU,spleen (OSD-211)
Tef,-0.165045815391389,0.960103033700365,spleen,OSD-211,OSD-211,HLU,spleen (OSD-211)
Npas2,-0.15706921618034,0.991207655621554,spleen,OSD-211,OSD-211,HLU,spleen (OSD-211)
Per3,-0.0896631426176106,0.990864289387158,spleen,OSD-211,OSD-211,HLU,spleen (OSD-211)
Clock,-0.156567918673836,0.938724706809397,spleen,OSD-211,OSD-211,HLU,spleen (OSD-211)
Bhlhe40,-0.245887712454184,0.89523521220959,spleen,OSD-211,OSD-211,HLU,spleen (OSD-211)
Bhlhe41,-0.189093440376841,0.979097306173559,spleen,OSD-211,OSD-211,HLU,spleen (OSD-211)
Ciart,-0.193633941138578,0.971891769440857,spleen,OSD-211,OSD-211,HLU,spleen (OSD-211)
Bmal1,-0.11731724251072,0.955563628876968,spleen,OSD-211,OSD-211,HLU,spleen (OSD-211)
Per2,-0.443955069288171,0.756816142206112,spleen,OSD-211,OSD-211,HLU,spleen (OSD-211)
Dbp,0.0898056721348836,0.98957209451858,spleen,OSD-211,OSD-211,HLU,spleen (OSD-211)
Cry2,-0.0809650045686573,0.98957209451858,spleen,OSD-211,OSD-211,HLU,spleen (OSD-211)
