gene,sample,group,value_log2
Dbp,Mmus_C57-6J_GST-M9_FLT_Rep4,Flight,7.07941648296039
Hlf,Mmus_C57-6J_GST-M19_CTRL_Rep1,NormalLoaded,6.2656726913635055
Hlf,Mmus_C57-6J_GST-M1_CTRL_Rep2,NormalLoaded,6.29504357183111
Hlf,Mmus_C57-6J_GST-M21_CTRL_Rep3,NormalLoaded,6.47997135801813
Hlf,Mmus_C57-6J_GST-M22_CTRL_Rep4,NormalLoaded,6.38156537065876
Hlf,Mmus_C57-6J_GST-M2_CTRL_Rep5,NormalLoaded,6.490862158388125
Hlf,Mmus_C57-6J_GST-M14_HLU-RL_Rep1,HLU+Reloaded,6.6082832258119595
Hlf,Mmus_C57-6J_GST-M15_HLU-RL_Rep2,HLU+Reloaded,6.565213892254064
Hlf,Mmus_C57-6J_GST-M16_HLU-RL_Rep3,HLU+Reloaded,6.482927257278465
Hlf,Mmus_C57-6J_GST-M18_HLU-RL_Rep4,HLU+Reloaded,6.58493342196399
Hlf,Mmus_C57-6J_GST-M33_HLU-RL_Rep5,HLU+Reloaded,6.8157671793955
Hlf,Mmus_C57-6J_GST-M11_HLU_Rep1,HLU,6.28728391011637
Hlf,Mmus_C57-6J_GST-M25_HLU_Rep2,HLU,6.531115133421915
Hlf,Mmus_C57-6J_GST-M30_HLU_Rep3,HLU,6.604133327192975
Hlf,Mmus_C57-6J_GST-M8_HLU_Rep4,HLU,6.49530856463361
Hlf,Mmus_C57-6J_GST-M9_HLU_Rep5,HLU,6.4063772474152145
Hlf,Mmus_C57-6J_GST-M1_GC_Rep1,GroundControl,6.58545346011914
Hlf,Mmus_C57-6J_GST-M2_GC_Rep2,GroundControl,6.57130930291042
Hlf,Mmus_C57-6J_GST-M3_GC_Rep3,GroundControl,6.40751902783243
Hlf,Mmus_C57-6J_GST-M4_GC_Rep4,GroundControl,6.42710502136
Hlf,Mmus_C57-6J_GST-M10_FLT_Rep1,Flight,6.328452972017705
Hlf,Mmus_C57-6J_GST-M11_FLT_Rep2,Flight,6.18678371200241
Hlf,Mmus_C57-6J_GST-M8_FLT_Rep3,Flight,6.333836402345085
Hlf,Mmus_C57-6J_GST-M9_FLT_Rep4,Flight,6.2826597340527055
Npas2,Mmus_C57-6J_GST-M19_CTRL_Rep1,NormalLoaded,4.860797064810836
Npas2,Mmus_C57-6J_GST-M1_CTRL_Rep2,NormalLoaded,4.85387626538074
Npas2,Mmus_C57-6J_GST-M21_CTRL_Rep3,NormalLoaded,4.763220535442285
Npas2,Mmus_C57-6J_GST-M22_CTRL_Rep4,NormalLoaded,4.88827821460254
Npas2,Mmus_C57-6J_GST-M2_CTRL_Rep5,NormalLoaded,4.98573344479986
Npas2,Mmus_C57-6J_GST-M14_HLU-RL_Rep1,HLU+Reloaded,4.74454416100504
Npas2,Mmus_C57-6J_GST-M15_HLU-RL_Rep2,HLU+Reloaded,4.60865397781187
Npas2,Mmus_C57-6J_GST-M16_HLU-RL_Rep3,HLU+Reloaded,5.005020083762915
Npas2,Mmus_C57-6J_GST-M18_HLU-RL_Rep4,HLU+Reloaded,4.677569703239035
Npas2,Mmus_C57-6J_GST-M33_HLU-RL_Rep5,HLU+Reloaded,4.555912433282725
Npas2,Mmus_C57-6J_GST-M11_HLU_Rep1,HLU,5.538049138586835
Npas2,Mmus_C57-6J_GST-M25_HLU_Rep2,HLU,4.812453116951065
Npas2,Mmus_C57-6J_GST-M30_HLU_Rep3,HLU,4.938021300513174
Npas2,Mmus_C57-6J_GST-M8_HLU_Rep4,HLU,4.96926964708493
Npas2,Mmus_C57-6J_GST-M9_HLU_Rep5,HLU,5.00180884568344
Npas2,Mmus_C57-6J_GST-M1_GC_Rep1,GroundControl,4.360915422452325
Npas2,Mmus_C57-6J_GST-M2_GC_Rep2,GroundControl,4.5229980009524455
Npas2,Mmus_C57-6J_GST-M3_GC_Rep3,GroundControl,4.63931957045946
Npas2,Mmus_C57-6J_GST-M4_GC_Rep4,GroundControl,4.430963161913495
