strength,drive_period_h,period_ratio,observed_period_h,rotation_number,phase_drift_per_cycle,oscillating,entrained
0.0,27.11029705843089,1.132,23.94900743084031,1.1128135169612061,0.1319999381296384,True,False
0.0,27.397685366470792,1.144,23.94900743084031,1.1246101266816428,0.14399993747376882,True,False
0.0,27.685073674510697,1.156,23.94900743084031,1.1364067364020796,0.15599993681789928,True,False
0.0,27.9724619825506,1.168,23.94900743084031,1.1482033461225163,0.16799993616202966,True,False
0.0,28.259850290590503,1.18,23.94900743084031,1.1599999558429532,0.17999993550616014,True,False
0.01,19.638201049393402,0.82,23.88721586003885,0.8105030410570475,0.1756746143663287,True,False
0.01,19.925589357433307,0.8320000000000001,23.89924566015634,0.8222981131607887,0.16366327307011702,True,False
0.01,20.212977665473208,0.844,23.91424242436824,0.8483488312367243,0.15146381085286537,True,False
0.01,20.500365973513112,0.856,23.894332274347562,0.8463517030826173,0.13931656999586828,True,False
0.01,20.787754281553017,0.868,23.90720408141624,0.8728563505597337,0.12708774447263088,True,False
0.01,21.075142589592918,0.8799999999999999,23.95244490429718,0.8697605076548789,0.11488751610636593,True,False
0.01,21.362530897632823,0.892,23.826190724372736,0.8827707265595949,0.10246621063504661,True,False
0.01,21.649919205672724,0.9039999999999999,23.857980547100397,0.9099272336231938,0.09006009096637736,True,False
0.01,21.93730751371263,0.9159999999999999,23.822343005239873,0.9224329872190417,0.07762783098072372,True,False
0.01,22.224695821752533,0.9279999999999999,23.78117171712256,0.9358396856867545,0.06497931042365394,True,False
0.01,22.512084129792434,0.94,23.69886868700405,0.9496431138950432,0.05164686050466917,True,False
0.01,22.79947243783234,0.952,23.7427722774446,0.9449986032372445,0.03641235119301147,True,False
0.01,23.086860745872244,0.964,23.254214141666125,0.9840547505865473,0.01858674308457838,True,False
0.01,23.374249053912145,0.9759999999999999,23.374141414165933,1.0000086159125467,2.1010787877006185e-06,True,True
0.01,23.66163736195205,0.988,23.661260516047605,1.0000087907486337,1.32897149144253e-06,True,True
0.01,23.949025669991954,1.0,23.949320791959508,1.0000080032266756,1.7247142994475367e-06,True,True
0.01,24.236413978031855,1.012,24.236270006150335,0.9830607299838343,5.349172652439404e-06,True,True
0.01,24.52380228607176,1.024,24.148080808222403,1.0018735405194368,0.021538274755968433,True,False
0.01,24.811190594111665,1.036,24.054504385739165,1.0348090606509277,0.03567354168436045,True,False
0.01,25.098578902151566,1.0479999999999998,24.04675789490375,1.0472751056179865,0.04778254685754798,True,False
0.01,25.38596721019147,1.06,24.03740099010065,1.0609780261161357,0.06075447580066889,True,False
0.01,25.673355518231375,1.072,24.038898826139302,1.07322271840019,0.07339400033129168,True,False
0.01,25.960743826271276,1.0839999999999999,24.03897959187634,1.0851764392212107,0.08567726482158024,True,False
0.01,26.24813213431118,1.0959999999999999,24.016200000047775,1.0991341317146002,0.09805190005390783,True,False
0.01,26.535520442351086,1.108,24.02393069297068,1.1106296282121373,0.11035537878245925,True,False
0.01,26.822908750390987,1.1199999999999999,24.000629702993137,1.104237624602514,0.12254745973674198,True,False
0.01,27.11029705843089,1.132,24.02960000008352,1.134690137526437,0.1347398762634591,True,False
0.01,27.397685366470792,1.144,23.98687029711914,1.1280953623281953,0.14687316043848173,True,False
0.01,27.685073674510697,1.156,24.01041661815225,1.1396038391600207,0.1589267144502125,True,False
0.01,27.9724619825506,1.168,24.00603434324239,1.170814238794661,0.17101678866224582,True,False
0.01,28.259850290590503,1.18,24.001098039448152,1.1831291734034441,0.1831319947855679,True,False
0.02,19.638201049393402,0.82,23.79318996429447,0.8161607218478226,0.16943058897554436,True,False
0.02,19.925589357433307,0.8320000000000001,23.841890685148883,0.8425002949893923,0.15788519450937702,True,False
0.02,20.212977665473208,0.844,23.78392982386049,0.8554932074389094,0.14444117907788726,True,False
0.02,20.500365973513112,0.856,23.800874146520982,0.8673986866936393,0.13228779913127361,True,False
0.02,20.787754281553017,0.868,23.754217507988187,0.880926391693059,0.1194053982408612,True,False
0.02,21.075142589592918,0.8799999999999999,23.682244444526987,0.8787719453225428,0.10593858084871072,True,False
0.02,21.362530897632823,0.892,23.524421693459317,0.9085048895041365,0.09199570392939703,True,False
0.02,21.649919205672724,0.9039999999999999,23.448096969425933,0.9227944639287339,0.07677233106648756,True,False
0.02,21.93730751371263,0.9159999999999999,23.153039674759384,0.9402112294207442,0.059806923810554205,True,False
0.02,22.224695821752533,0.9279999999999999,22.55081632629026,0.9696546126131654,0.028529782043898215,True,False
0.02,22.512084129792434,0.94,22.512000249698758,1.000008387756124,1.622828081145565e-06,True,True
0.02,22.79947243783234,0.952,22.799999999999727,1.0000041726813214,7.80953605335153e-08,True,True
0.02,23.086860745872244,0.964,23.086260564923577,1.0000091489525926,1.360269790063647e-06,True,True
0.02,23.374249053912145,0.9759999999999999,23.37496666692232,1.0000092290694014,1.093631338031697e-06,True,True
0.02,23.66163736195205,0.988,23.660981128216008,1.000005449544374,3.7245386346060885e-07,True,True
0.02,23.949025669991954,1.0,23.94969019621567,1.000006811358756,7.262459297563847e-07,True,True
0.02,24.236413978031855,1.012,24.236862744987775,0.9655249016621463,1.3370988940075283e-06,True,False
0.02,24.52380228607176,1.024,24.52351776301839,1.0000085701737518,2.2774158497896196e-06,True,True
0.02,24.811190594111665,1.036,24.38993877559824,1.0268725123434124,0.02235306209876607,True,False
0.02,25.098578902151566,1.0479999999999998,24.232723111995256,1.0408191981502164,0.041937116660926956,True,False
0.02,25.38596721019147,1.06,24.159460605979802,1.0565722467725294,0.057338188738698975,True,False
0.02,25.673355518231375,1.072,24.156846603453005,1.053652897027547,0.07174691221968062,True,False
0.02,25.960743826271276,1.0839999999999999,24.15978142760696,1.0647000405299463,0.08428066571090675,True,False
0.02,26.24813213431118,1.0959999999999999,24.106799999996838,1.0990664984255936,0.09757405841223221,True,False
0.02,26.535520442351086,1.108,24.063123232275302,1.0362232236102749,0.11145061477320484,True,False
0.02,26.822908750390987,1.1199999999999999,24.137984050978048,1.0855557480478013,0.1229948948795523,True,False
0.02,27.11029705843089,1.132,24.110460606106017,1.1162940239205748,0.13594129277693706,True,False
0.02,27.397685366470792,1.144,24.11414851471727,1.1293184085730685,0.14812230339149668,True,False
0.02,27.685073674510697,1.156,24.124510890990223,1.1410533558513456,0.1612445464248526,True,False
0.02,27.9724619825506,1.168,24.104640403986195,1.1735508961790129,0.17293171506581365,True,False
0.02,28.259850290590503,1.18,24.11850098937748,1.166455191485821,0.18555205619096393,True,False
0.03,19.638201049393402,0.82,23.802576724066967,0.8333369553872749,0.16671303678753158,True,False
0.03,19.925589357433307,0.8320000000000001,23.80990772888049,0.8502154059575352,0.14994248487186101,True,False
