dataset,subject_id,variable,condition,n_days,phase_sd_h,mean_amplitude
helissen2020,2020_612582,activity,baseline,2,0.3527332585798023,0.4290651876710447
helissen2020,2020_612582,activity,recovery,2,0.3506004889922665,0.28852180933349747
helissen2020,2020_612582,activity,treatment,4,1.8935859135353423,0.016153173660149324
helissen2020,2020_612582,tb_sub,baseline,2,0.29008815682880784,1.1954946380086524
helissen2020,2020_612582,tb_sub,recovery,2,0.4960275268536548,1.1119279190182039
helissen2020,2020_612582,tb_sub,treatment,4,4.284992878860071,0.3059853248013492
helissen2021,2021_1136417,activity,baseline,2,0.5447478511268392,0.14006415768169517
helissen2021,2021_1136417,activity,recovery,3,3.051367043295195,0.06789303820716913
helissen2021,2021_1136417,activity,treatment,4,5.217705393830799,0.014055941520638122
helissen2021,2021_1136417,tb_sub,baseline,2,0.3594813057523266,0.8830703124683582
helissen2021,2021_1136417,tb_sub,recovery,3,0.9414647851686906,0.6166608987860545
helissen2021,2021_1136417,tb_sub,treatment,4,0.8837379349052041,0.31288108670624626
helissen2021,2021_1167187,activity,baseline,2,0.6051337419163391,0.1567382229020323
helissen2021,2021_1167187,activity,recovery,3,1.9994327888187386,0.09966448094972291
helissen2021,2021_1167187,activity,treatment,4,6.129368288389787,0.011915028333691239
helissen2021,2021_1167187,tb_sub,baseline,2,0.027055876462227877,0.8640234139973484
helissen2021,2021_1167187,tb_sub,recovery,3,0.8329268709519922,0.6619570543012642
helissen2021,2021_1167187,tb_sub,treatment,4,5.803228661071816,0.25585260786910263
helissen2021,2021_1168656,activity,baseline,2,0.13747515642163574,0.15229339175831366
helissen2021,2021_1168656,activity,recovery,3,5.453442465079797,0.06808223175843729
helissen2021,2021_1168656,activity,treatment,4,5.147624065676002,0.013917698300808832
helissen2021,2021_1168656,tb_sub,baseline,2,0.23776570741145822,0.7673989917628372
helissen2021,2021_1168656,tb_sub,recovery,3,1.6192523899924731,0.5658077346588762
helissen2021,2021_1168656,tb_sub,treatment,4,4.739363877288835,0.3359941104058001
helissen2021,2021_1168657,activity,baseline,2,0.028507637351286686,0.1622919406119593
helissen2021,2021_1168657,activity,recovery,3,4.090575810402504,0.11272657455893499
helissen2021,2021_1168657,activity,treatment,4,5.456056273701519,0.00913053012669212
helissen2021,2021_1168657,tb_sub,baseline,2,0.29649238107938924,0.514738713680137
helissen2021,2021_1168657,tb_sub,recovery,3,0.8608969411197989,0.4105116317332755
helissen2021,2021_1168657,tb_sub,treatment,4,3.7682467888597326,0.36135812317827243
helissen2021,2021_1168659,activity,baseline,2,0.12168507320073516,0.40493027158221845
helissen2021,2021_1168659,activity,recovery,3,3.0715679138227046,0.0711794310425423
helissen2021,2021_1168659,activity,treatment,4,3.6044314778989217,0.05059270703008662
helissen2021,2021_1168659,tb_sub,baseline,2,0.22078802293566333,1.280964392211151
helissen2021,2021_1168659,tb_sub,recovery,3,2.299806675610046,0.5423739921119621
helissen2021,2021_1168659,tb_sub,treatment,4,3.4846571419159367,0.4387869492418661
helissen2022,2022_1077138,activity,baseline,2,1.6673389013787199,0.04699175838610703
helissen2022,2022_1077138,activity,recovery,3,4.730015384904486,0.04530618982439072
helissen2022,2022_1077138,activity,treatment,4,2.738019926079792,0.057044678345315396
helissen2022,2022_1077138,tb_core,baseline,2,0.9001675115160079,0.44035630003453147
helissen2022,2022_1077138,tb_core,recovery,3,5.378241372125763,0.39486222239889607
helissen2022,2022_1077138,tb_core,treatment,4,2.6300844842898106,0.412944732228383
helissen2022,2022_1077140,activity,baseline,2,1.20750446542496,0.07075836496825243
helissen2022,2022_1077140,activity,recovery,3,3.838845796308117,0.08805263603141926
helissen2022,2022_1077140,activity,treatment,4,4.832626348160927,0.0621855545781963
helissen2022,2022_1077140,tb_core,baseline,2,0.1871179905056782,0.5350102163226956
helissen2022,2022_1077140,tb_core,recovery,3,1.2210052739824975,0.6007272943994973
helissen2022,2022_1077140,tb_core,treatment,4,2.997485992459282,0.32343584901627487
helissen2022,2022_1167187,activity,baseline,2,1.0213629854031012,0.04458879405152878
helissen2022,2022_1167187,activity,recovery,3,3.4862084601783465,0.03303021391259392
helissen2022,2022_1167187,activity,treatment,4,4.041063556334513,0.050182587767818976
helissen2022,2022_1167187,tb_core,baseline,2,0.28943141124318283,0.5684099657654111
