variable,label,dataset,n_days_base,T_hours,dphi,n_animals,power_intercept,power_slope,sd_base,sd_treat
tb_core,심부체온,helissen2022,5,20,3.0,16,0.9999999960446301,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,20,3.0,20,,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,20,3.0,24,,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,1.0,3,0.11465986707117479,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,1.0,4,0.16774817990527904,,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,1.0,5,0.2248711249273877,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,1.0,6,0.2829502257974009,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,1.0,7,0.3403438722181224,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,1.0,8,0.39604864822126334,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,1.0,10,0.500003878548769,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,1.0,12,0.5919413788118748,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,1.0,16,0.7376173054820273,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,1.0,20,0.8376021738675596,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,1.0,24,0.9025247502829585,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,2.0,3,0.2834115729935069,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,2.0,4,0.4771346965822656,,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,2.0,5,0.6474222900507517,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,2.0,6,0.7749192588444004,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,2.0,7,0.8619954209205074,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,2.0,8,0.9179980316068097,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,2.0,10,0.9730560594135661,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,2.0,12,0.9917683656673798,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,2.0,16,0.9993417050758752,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,2.0,20,0.9999545463670402,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,2.0,24,0.999997176230089,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,3.0,3,0.4962645433221479,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,3.0,4,0.7847474423487192,,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,3.0,5,0.9279302053023741,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,3.0,6,0.979286736392864,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,3.0,7,0.9946223627735773,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,3.0,8,0.9987016691864679,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,3.0,10,0.999935086877078,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,3.0,12,0.9999971909773838,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,3.0,16,0.9999999960446301,1.0,0.30679174776681073,2.7687328229841817
