mesor,amplitude,acrophase,p_rhythm,n,IS,IV,RA,bin_h,span_h,dataset,subject_id,condition,variable,species,gravity
0.20198032709207792,0.0444692171809707,10.978896244196605,0.417660762403812,36,0.8239361225460419,1.8231985537907214,0.6490763424485201,2.0,70.0,helissen2020,2020_1110418,baseline,activity,mouse,1G
119.96830980399278,3.0787936029825103,15.967151502746406,0.14979646079652398,36,0.7293353348689209,1.4686507614988815,0.062168551530253593,2.0,70.0,helissen2020,2020_1110418,baseline,bp_mean,mouse,1G
498.98407939261176,92.93186159457034,1.3711722828407023,0.14602080860960298,36,0.16462910970663783,0.2248282002085509,0.9843358395989975,2.0,70.0,helissen2020,2020_1110418,baseline,hr,mouse,1G
33.97159504889484,0.3967804804394561,9.772239445723846,0.13616462607351942,36,0.8433359369022431,1.6429710771781505,0.02296105314064131,2.0,70.0,helissen2020,2020_1110418,baseline,tb_sub,mouse,1G
0.14594669896578163,0.03801764614850381,10.683405449804372,0.3341118725941905,35,0.4600881243471886,1.2634821632265907,0.6630427442771285,2.0,68.0,helissen2020,2020_1110418,recovery,activity,mouse,1G
115.3220843401728,1.4985444641479813,14.27010333966653,0.532640017564378,35,0.7112554702964039,1.3175126544204072,0.06208232793031996,2.0,68.0,helissen2020,2020_1110418,recovery,bp_mean,mouse,1G
584.2756595225075,28.58396953285791,3.6696525966322153,0.021297145116854543,35,0.26231883753530805,0.20474232470366807,0.12729771516921495,2.0,68.0,helissen2020,2020_1110418,recovery,hr,mouse,1G
33.02969309908826,0.4416684440441759,8.62284284050335,0.066614749423752,35,0.505800304713121,1.0004646558794297,0.027350342124784488,2.0,68.0,helissen2020,2020_1110418,recovery,tb_sub,mouse,1G
0.03980629780304564,0.011092129429498868,15.998048984742557,0.12481290922371946,60,0.2344093770829358,0.917503005993745,0.9083333333333333,2.0,118.0,helissen2020,2020_1110418,treatment,activity,mouse,HLU
122.49692634766815,1.9021189018661862,18.53829961448707,0.20924292908428688,60,0.2890828269612382,0.8335610828225252,0.10331266850990019,2.0,118.0,helissen2020,2020_1110418,treatment,bp_mean,mouse,HLU
581.2737403632274,16.187738806443928,21.069336583524095,0.37984297617428897,60,0.08227521812534726,0.2109980545834658,0.20947515095215977,2.0,118.0,helissen2020,2020_1110418,treatment,hr,mouse,HLU
32.36275562847011,0.11213711440433512,14.26620922396391,0.6404525144379662,60,0.20135016772211248,0.8105333884900323,0.03794078076598704,2.0,118.0,helissen2020,2020_1110418,treatment,tb_sub,mouse,HLU
0.11318863129316932,0.07438214533307283,7.630928036086885,0.00556191991929067,36,0.8620373012624091,1.3368504667963554,0.8515363301765849,2.0,70.0,helissen2020,2020_1111871,baseline,activity,mouse,1G
119.9922393448701,2.1201748251864854,10.560990792574579,0.5205563806669236,36,0.836170334740995,1.3293870869329414,0.07713314696520032,2.0,70.0,helissen2020,2020_1111871,baseline,bp_mean,mouse,1G
590.2080935959424,18.314091359531606,4.4956864753758925,0.13293698387448283,36,0.4528759662911198,0.9885101464024381,0.10323904702418135,2.0,70.0,helissen2020,2020_1111871,baseline,hr,mouse,1G
32.30861611787627,0.859865279662701,7.69303228829821,0.0017059388757896254,36,0.8373886108209425,1.1008349298703546,0.03905075618965579,2.0,70.0,helissen2020,2020_1111871,baseline,tb_sub,mouse,1G
0.08690688686218774,0.026012122620310604,8.217603154537965,0.47249311985676357,35,0.4219338650554514,1.6628386234269361,0.9689583227316676,2.0,68.0,helissen2020,2020_1111871,recovery,activity,mouse,1G
