variable,dataset,n_animals,n_days_treat,true_dphi,power,sd_base,sd_treat
activity,helissen2021,6,21,3.0,0.998,0.13747515642163574,5.217705393830799
activity,helissen2021,8,5,1.0,0.1825,0.13747515642163574,5.217705393830799
activity,helissen2021,8,5,2.0,0.5645,0.13747515642163574,5.217705393830799
activity,helissen2021,8,5,3.0,0.8665,0.13747515642163574,5.217705393830799
activity,helissen2021,8,7,1.0,0.225,0.13747515642163574,5.217705393830799
activity,helissen2021,8,7,2.0,0.692,0.13747515642163574,5.217705393830799
activity,helissen2021,8,7,3.0,0.9595,0.13747515642163574,5.217705393830799
activity,helissen2021,8,10,1.0,0.304,0.13747515642163574,5.217705393830799
activity,helissen2021,8,10,2.0,0.834,0.13747515642163574,5.217705393830799
activity,helissen2021,8,10,3.0,0.992,0.13747515642163574,5.217705393830799
activity,helissen2021,8,14,1.0,0.428,0.13747515642163574,5.217705393830799
activity,helissen2021,8,14,2.0,0.927,0.13747515642163574,5.217705393830799
activity,helissen2021,8,14,3.0,0.998,0.13747515642163574,5.217705393830799
activity,helissen2021,8,21,1.0,0.564,0.13747515642163574,5.217705393830799
activity,helissen2021,8,21,2.0,0.99,0.13747515642163574,5.217705393830799
activity,helissen2021,8,21,3.0,1.0,0.13747515642163574,5.217705393830799
activity,helissen2021,10,5,1.0,0.2275,0.13747515642163574,5.217705393830799
activity,helissen2021,10,5,2.0,0.683,0.13747515642163574,5.217705393830799
activity,helissen2021,10,5,3.0,0.952,0.13747515642163574,5.217705393830799
activity,helissen2021,10,7,1.0,0.3,0.13747515642163574,5.217705393830799
activity,helissen2021,10,7,2.0,0.7975,0.13747515642163574,5.217705393830799
activity,helissen2021,10,7,3.0,0.9915,0.13747515642163574,5.217705393830799
activity,helissen2021,10,10,1.0,0.3735,0.13747515642163574,5.217705393830799
activity,helissen2021,10,10,2.0,0.924,0.13747515642163574,5.217705393830799
activity,helissen2021,10,10,3.0,0.999,0.13747515642163574,5.217705393830799
activity,helissen2021,10,14,1.0,0.5265,0.13747515642163574,5.217705393830799
activity,helissen2021,10,14,2.0,0.9765,0.13747515642163574,5.217705393830799
activity,helissen2021,10,14,3.0,1.0,0.13747515642163574,5.217705393830799
activity,helissen2021,10,21,1.0,0.6635,0.13747515642163574,5.217705393830799
activity,helissen2021,10,21,2.0,0.9975,0.13747515642163574,5.217705393830799
activity,helissen2021,10,21,3.0,1.0,0.13747515642163574,5.217705393830799
activity,helissen2021,12,5,1.0,0.2845,0.13747515642163574,5.217705393830799
